YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:44:58', name='重云', lang='zh-cn', item_type='角色', rank_type='4', id='1627581960000289006'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:44:48', name='鸦羽弓', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000288252'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:44:32', name='迪卢克', lang='zh-cn', item_type='角色', rank_type='5', id='1627581960000286990'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:44:15', name='烟绯', lang='zh-cn', item_type='角色', rank_type='4', id='1627581960000285555'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:43:46', name='凝光', lang='zh-cn', item_type='角色', rank_type='4', id='1627581960000283310'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:43:39', name='讨龙英杰谭', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000282750'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:42:13', name='神射手之誓', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000274888'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:42:02', name='铁影阔剑', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000273890'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:41:57', name='烟绯', lang='zh-cn', item_type='角色', rank_type='4', id='1627581960000273473'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:41:51', name='翡玉法球', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000272942'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:41:47', name='冷刃', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000272582'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:41:41', name='以理服人', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000272054'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:41:34', name='以理服人', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000271488'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:40:32', name='沐浴龙血的剑', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000265631'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:40:32', name='沐浴龙血的剑', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000265630'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:40:32', name='冷刃', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000265629'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:40:32', name='弹弓', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000265628'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:40:32', name='凝光', lang='zh-cn', item_type='角色', rank_type='4', id='1627581960000265627'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:40:32', name='黑缨枪', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000265626'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:40:32', name='鸦羽弓', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000265625'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:40:32', name='沐浴龙血的剑', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000265624'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:40:32', name='讨龙英杰谭', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000265623'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:40:32', name='凝光', lang='zh-cn', item_type='角色', rank_type='4', id='1627581960000265622'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:39:01', name='弹弓', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000257719'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:39:01', name='黎明神剑', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000257718'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:39:01', name='魔导绪论', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000257717'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:39:01', name='弹弓', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000257716'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:39:01', name='以理服人', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000257715'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:39:01', name='魔导绪论', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000257714'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:39:01', name='凝光', lang='zh-cn', item_type='角色', rank_type='4', id='1627581960000257713'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:39:01', name='黎明神剑', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000257712'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:39:01', name='铁影阔剑', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000257711'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:39:01', name='鸦羽弓', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000257710'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:37:31', name='沐浴龙血的剑', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000249258'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:37:27', name='沐浴龙血的剑', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000248889'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:37:21', name='神射手之誓', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000248249'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:36:21', name='飞天御剑', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000242846'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:36:21', name='讨龙英杰谭', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000242845'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:36:21', name='祭礼大剑', lang='zh-cn', item_type='武器', rank_type='4', id='1627581960000242844'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:36:21', name='魔导绪论', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000242843'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:36:21', name='黎明神剑', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000242842'}
YsCardVO{uid='101606716', gacha_type='301', item_id='', count='1', time='2021-07-30 02:36:21', name='黎明神剑', lang='zh-cn', item_type='武器', rank_type='3', id='1627581960000242841'}
